NovaRecovery Kurtarma Raporu ve Ofset Haritasi
============================================================================================================================
Tarih/Saat: 27.06.2026 13:45:07
Kaynak Disk: Seagate FireCuda HDD
Toplam Bulunan Dosya: 77
============================================================================================================================
Dosya Adi                                     | Boyut        | Disk Ofseti (Byte)   | Disk Ofseti (MB)   | Durum       
----------------------------------------------------------------------------------------------------------------------------
file 512x512_000001.png                       | 238.76 KB    | 84279312             | 80.38 MB | Kaydedildi  
file 512x512_000002.png                       | 238.76 KB    | 84523810             | 80.61 MB | Kaydedildi  
radeonsoftwarelocalisationfi_FICNext_fi_...   | 1.00 MB      | 159377976            | 151.99 MB | Kaydedildi  
radeonsoftwarelocalisationzh_CNLink_zh_C...   | 1.00 MB      | 167560734            | 159.80 MB | Kaydedildi  
radeonsoftwareresourcesqtwebengine_devto...   | 1.00 MB      | 318758061            | 303.99 MB | Kaydedildi  
kurtarilan_zip_11.zip                         | 1.00 MB      | 360677005            | 343.97 MB | Kaydedildi  
kurtarilan_mp3_13.mp3                         | 8.00 MB      | 820678452            | 782.66 MB | Kaydedildi  
kurtarilan_mp3_15.mp3                         | 8.00 MB      | 1685951848           | 1607.85 MB | Kaydedildi  
rtkhdasetting12972053_arsiv.zip               | 1.00 MB      | 2256391516           | 2151.86 MB | Kaydedildi  
SoundResearchAPO0GFXAnyOutputAnyContentP...   | 1.00 MB      | 2264338402           | 2159.44 MB | Kaydedildi  
rtkhdasetting103C84BCCxSfPt_arsiv.zip         | 1.00 MB      | 2272371776           | 2167.10 MB | Kaydedildi  
rtkhdasetting103C88C2_arsiv.zip               | 1.00 MB      | 2281370220           | 2175.68 MB | Kaydedildi  
rtkhdasetting10431A21_10431A21_arsiv.zip      | 1.00 MB      | 2290062971           | 2183.97 MB | Kaydedildi  
rtkhdasettingsetting_arsiv.zip                | 1.00 MB      | 2295997337           | 2189.63 MB | Kaydedildi  
rtkhdasetting1A581003_1A581003_arsiv.zip      | 1.00 MB      | 2297242494           | 2190.82 MB | Kaydedildi  
rtkhdasetting146212CA_146212CA_arsiv.zip      | 1.00 MB      | 2298653904           | 2192.17 MB | Kaydedildi  
